model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_73_trigger,,43,11.95861279081809,0.3902765388046387,35,8968
global,global_in_51_trigger,,43,11.97354913672414,0.3791257805530776,34,8968
global,global_in_74_trigger,,43,11.39048623911086,0.423728813559322,38,8968
global,combine,,44,11.523604123322269,0.423728813559322,38,8968
global,global_in_41_trigger,,44,11.993345255515704,0.3791257805530776,34,8968
global,global_in_73_trigger,,44,11.947229490867159,0.3902765388046387,35,8968
global,global_in_51_trigger,,44,11.962076847304413,0.3791257805530776,34,8968
global,global_in_74_trigger,,44,11.378959811446286,0.423728813559322,38,8968
51,51_trigger,,45,9.37602573245046,3.3117752007136487,297,8968
global,combine,,45,11.497192685674282,0.412578055307761,37,8968
global,global_in_41_trigger,,45,11.966819723199032,0.3791257805530776,34,8968
global,global_in_73_trigger,,45,11.920765361224403,0.3902765388046387,35,8968
global,global_in_51_trigger,,45,11.935408349764549,0.3791257805530776,34,8968
global,global_in_74_trigger,,45,11.352853844784711,0.423728813559322,38,8968
global,combine,,46,11.493529509477165,0.40142729705619984,36,8968
global,global_in_41_trigger,,46,11.963356812653213,0.3791257805530776,34,8968
global,global_in_73_trigger,,46,11.917252608647207,0.3902765388046387,35,8968
global,global_in_51_trigger,,46,11.931840769846879,0.3791257805530776,34,8968
global,global_in_74_trigger,,46,11.349445770937454,0.412578055307761,37,8968
global,combine,,47,11.467678854446342,0.423728813559322,38,8968
global,global_in_41_trigger,,47,11.938021334019439,0.3791257805530776,34,8968
global,global_in_73_trigger,,47,11.891742578688527,0.3791257805530776,34,8968
global,global_in_51_trigger,,47,11.906342044459402,0.3791257805530776,34,8968
global,global_in_74_trigger,,47,11.324147992640281,0.423728813559322,38,8968
global,combine,,48,11.429499051913313,0.412578055307761,37,8968
global,global_in_41_trigger,,48,11.899941921659499,0.3791257805530776,34,8968
global,global_in_73_trigger,,48,11.8535230153379,0.3791257805530776,34,8968
global,global_in_51_trigger,,48,11.868065428244654,0.3791257805530776,34,8968
global,global_in_74_trigger,,48,11.28664143738419,0.423728813559322,38,8968
global,combine,,49,11.417585503087311,0.412578055307761,37,8968
global,global_in_41_trigger,,49,11.888285499933465,0.3791257805530776,34,8968
global,global_in_73_trigger,,49,11.84182112946455,0.3791257805530776,34,8968
global,global_in_51_trigger,,49,11.856334189449859,0.3791257805530776,34,8968
global,global_in_74_trigger,,49,11.275040457229546,0.423728813559322,38,8968
51,51_trigger,,50,10.335765814802457,1.070472792149866,96,8968
global,combine,,50,11.400513523077986,0.40142729705619984,36,8968
global,global_in_41_trigger,,50,11.87068188009679,0.3791257805530776,34,8968
